19471029,法律|政令,昭和二十二年法律第百二十七号,裁判官分限法
19471104,法律|政令,昭和二十二年法律第百二十九号,財政融資資金の債権の条件変更等に関する法律
19471119,法律|政令,昭和二十二年法律第百三十二号,農業協同組合法
19471119,法律|政令,昭和二十二年法律第百三十五号,海難審判法
19471120,法律|政令,昭和二十二年法律第百三十六号,最高裁判所裁判官国民審査法
19471120,法律|政令,昭和二十二年法律第百三十七号,裁判官弾劾法
19471130,法律|政令,昭和二十二年法律第百四十一号,職業安定法
19471204,法律|政令,昭和二十二年法律第百四十八号,貨幣損傷等取締法
19471204,法律|政令,昭和二十二年法律第百四十九号,すき入紙製造取締法
19471206,法律|政令,昭和二十二年法律第百五十一号,昭和二十二年法律第百五十一号（国際電気通信株式会社等の社員で公務員となつた者の在職年の計算に関する恩給法の特例等に関する法律）
19471210,法律|政令,昭和二十二年法律第百五十九号,昭和二十二年法律第百五十九号（赤十字の標章及び名称等の使用の制限に関する法律）
19471212,法律|政令,昭和二十二年法律第百六十四号,児童福祉法
19471212,法律|政令,昭和二十二年法律第百六十五号,郵便法
19471212,法律|政令,昭和二十二年法律第百七十号,昭和二十二年法律第百七十号（大蔵省預金部特別会計、国有鉄道事業特別会計、通信事業特別会計並びに簡易生命保険及郵便年金特別会計の保険勘定及び年金勘定の昭和二十二年度における歳入不足補填のための一般会計からする繰入金に関する法律）
19471213,法律|政令,昭和二十二年法律第百七十五号,昭和二十二年法律第百七十五号（災害被害者に対する租税の減免、徴収猶予等に関する法律）
19471213,法律|政令,昭和二十二年法律第百八十一号,臨時金利調整法
19471215,法律|政令,昭和二十二年法律第百八十五号,農業保険法
19471216,法律|政令,昭和二十二年法律第百八十九号,印紙等模造取締法
19471217,法律|政令,昭和二十二年法律第百九十四号,国の利害に関係のある訴訟についての法務大臣の権限等に関する法律
19471220,法律|政令,昭和二十二年法律第二百十七号,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律
19471222,法律|政令,昭和二十二年法律第二百二十四号,戸籍法
19471223,法律|政令,昭和二十二年法律第二百二十六号,消防組織法
19471223,法律|政令,昭和二十二年法律第二百二十九号,昭和二十二年法律第二百二十九号（物品の無償貸付及び譲与等に関する法律）
19471223,法律|政令,昭和二十二年法律第二百三十一号,昭和二十二年法律第二百三十一号（国が施行する内国貿易設備に関する港湾工事に因り生ずる土地又は工作物の譲与又は貸付及び使用料の徴収に関する法律）
19471223,法律|政令,昭和二十二年法律第二百二十五号,議院における証人の宣誓及び証言等に関する法律
19471224,法律|政令,昭和二十二年法律第二百三十三号,食品衛生法
19471224,法律|政令,昭和二十二年法律第二百三十四号,理容師法
19471229,法律|政令,昭和二十二年法律第二百四十五号,栄養士法
19480209,法律|政令,昭和二十三年法律第五号,国立国会図書館法
19480209,法律|政令,昭和二十三年法律第六号,国立国会図書館建築委員会法
19480320,法律|政令,昭和二十三年法律第十三号,昭和二十三年法律第十三号（政府職員の俸給等の支給に関する措置等に伴う大蔵省預金部外三特別会計に対する一般会計の繰入金に関する法律）
19480401,法律|政令,昭和二十三年法律第十八号,大蔵省預金部特別会計外三特別会計の昭和二十三年度における歳入不足補填のための一般会計からする繰入金に関する法律
19480413,法律|政令,昭和二十三年法律第二十五号,金融商品取引法
19480414,法律|政令,昭和二十三年法律第二十七号,財政法第三条の特例に関する法律
19480427,法律|政令,昭和二十三年法律第二十八号,海上保安庁法
19480501,法律|政令,昭和二十三年法律第三十九号,軽犯罪法
19480515,法律|政令,昭和二十三年法律第四十三号,行政代執行法
19480531,法律|政令,昭和二十三年法律第四十八号,墓地、埋葬等に関する法律
19480630,法律|政令,昭和二十三年法律第六十八号,予防接種法
19480630,法律|政令,昭和二十三年法律第七十三号,国有財産法
19480701,法律|政令,昭和二十三年法律第七十五号,裁判官の報酬等に関する法律
19480701,法律|政令,昭和二十三年法律第七十六号,検察官の俸給等に関する法律
19480701,法律|政令,昭和二十三年法律第八十号,減額社債に対する措置等に関する法律
19480701,法律|政令,昭和二十三年法律第八十二号,農薬取締法
19480702,法律|政令,昭和二十三年法律第八十三号,中小企業庁設置法
19480705,法律|政令,昭和二十三年法律第九十二号,議院法制局法
19480706,法律|政令,昭和二十三年法律第百三号,公認会計士法
19480707,法律|政令,昭和二十三年法律第百九号,地方財政法
19480710,法律|政令,昭和二十三年法律第百二十号,国家行政組織法
19480710,法律|政令,昭和二十三年法律第百二十一号,日本学術会議法
19480710,法律|政令,昭和二十三年法律第百二十二号,風俗営業等の規制及び業務の適正化等に関する法律
19480710,法律|政令,昭和二十三年法律第百二十四号,大麻取締法
19480710,法律|政令,昭和二十三年法律第百二十五号,温泉法
19480710,法律|政令,昭和二十三年法律第百二十九号,社会保険診療報酬支払基金法
19480710,法律|政令,昭和二十三年法律第百三十号,船員職業安定法
19480710,法律|政令,昭和二十三年法律第百三十一号,刑事訴訟法
19480710,法律|政令,昭和二十三年法律第百三十二号,教科書の発行に関する臨時措置法
19480710,法律|政令,昭和二十三年法律第百三十五号,市町村立学校職員給与負担法
19480712,法律|政令,昭和二十三年法律第百三十六号,警察官職務執行法
19480712,法律|政令,昭和二十三年法律第百三十七号,興行場法
19480712,法律|政令,昭和二十三年法律第百三十八号,旅館業法
19480712,法律|政令,昭和二十三年法律第百三十九号,公衆浴場法
19480712,法律|政令,昭和二十三年法律第百四十号,化製場等に関する法律
19480712,法律|政令,昭和二十三年法律第百四十二号,印紙をもつてする歳入金納付に関する法律
19480712,法律|政令,昭和二十三年法律第百四十四号,当せん金付証票法
19480712,法律|政令,昭和二十三年法律第百四十六号,判事補の職権の特例等に関する法律
19480712,法律|政令,昭和二十三年法律第百四十七号,検察審査会法
19480713,法律|政令,昭和二十三年法律第百五十八号,競馬法
19480713,法律|政令,昭和二十三年法律第百五十六号,母体保護法
19480715,法律|政令,昭和二十三年法律第百六十五号,農業改良助長法
19480715,法律|政令,昭和二十三年法律第百六十八号,少年法
19480715,法律|政令,昭和二十三年法律第百七十四号,港則法
19480720,法律|政令,昭和二十三年法律第百七十八号,国民の祝日に関する法律
19480724,法律|政令,昭和二十三年法律第百八十六号,消防法
